,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Text,Feature_Words,Sentiment
40,40,40,40,40,40,40,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",view downtown los hollywood beyond rain,neg
41,41,41,41,41,41,41,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",first time flyer next week hard time getting flight added elevate,neg
42,42,42,42,42,42,42,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  ðŸ·ðŸ‘ðŸ’ºâœˆï¸,plz help win bid upgrade flight,pos
43,43,43,43,43,43,43,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,unused ticket moved new city fly travelhelp,neg
44,44,44,44,44,44,44,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,flight leaving dallas seattle time feb,neg
45,45,45,45,45,45,45,@VirginAmerica I'm #elevategold for a good reason: you rock!!,elevategold good,neg
46,46,46,46,46,46,46,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,dream,neg
47,47,47,47,47,47,47,@VirginAmerica wow this just blew my mind,wow blew mind,neg
48,48,48,48,48,48,48,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,last night tribute soundofmusic think agree,neg
49,49,49,49,49,49,49,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,entertaining,neg
50,50,50,50,50,50,50,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",flight supposed take minute website still show,neg
51,51,51,51,51,51,51,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,julie andrew way though,neg
52,52,52,52,52,52,52,@VirginAmerica wish you flew out of Atlanta... Soon?,wish flew,neg
53,53,53,53,53,53,53,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,julie hand,neg
54,54,54,54,54,54,54,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,flight leaving dallas la february,neg
55,55,55,55,55,55,55,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,excited trying book since last week page never,neg
56,56,56,56,56,56,56,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,know need spotify stat guiltypleasures,neg
57,57,57,57,57,57,57,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! ðŸ˜Š,lady,pos
58,58,58,58,58,58,58,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,,neg
59,59,59,59,59,59,59,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,new marketing let u know,neg
60,60,60,60,60,60,60,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,julie andrew first lady gaga last,neg
61,61,61,61,61,61,61,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,called week ago adding flight still shown,neg
62,62,62,62,62,62,62,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood ðŸ˜ðŸ‘Œ",great go carrieunderwood,pos
63,63,63,63,63,63,63,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",mary martin,neg
64,64,64,64,64,64,64,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,love three really beat,neg
65,65,65,65,65,65,65,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,flight dal dca tried check could status,neg
66,66,66,66,66,66,66,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,heyyyy trying get someone call,neg
67,67,67,67,67,67,67,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",hold minute earlier flight la nyc earlier,neg
68,68,68,68,68,68,68,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,congrats winning award best deal airline,neg
69,69,69,69,69,69,69,@VirginAmerica everything was fine until you lost my bag,everything fine lost bag,neg
70,70,70,70,70,70,70,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,need change virgin credit need modify phone waive change,neg
71,71,71,71,71,71,71,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,emailed customer service let know need tracking,neg
72,72,72,72,72,72,72,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",hi booked flight need add,neg
73,73,73,73,73,73,73,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,airline awesome lax loft need step dirty table,neg
74,74,74,74,74,74,74,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",great ride new plane great airline like,neg
75,75,75,75,75,75,75,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,flew yall sat way correct bill,neg
76,76,76,76,76,76,76,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",watch best student film country,neg
77,77,77,77,77,77,77,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,first time flying different medium thanks,neg
78,78,78,78,78,78,78,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,going customer anyway speak human thank,neg
79,79,79,79,79,79,79,@VirginAmerica what happened to Doom?!,happened,neg
80,80,80,80,80,80,80,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,supp biz traveler like customer service like neverflyvirginforbusiness,neg
81,81,81,81,81,81,81,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,applied member inflight crew flightattendant dreampath,neg
82,82,82,82,82,82,82,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,whenever use airline delayed late flight,neg
83,83,83,83,83,83,83,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,interesting flying cancelled flight next four flight,neg
84,84,84,84,84,84,84,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,disappointing experience shared every business traveler neverflyvirgin,neg
85,85,85,85,85,85,85,@VirginAmerica Iâ€™m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,trouble adding flight wife booked elevate,neg
86,86,86,86,86,86,86,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,bring reservation online using flight booking problem code,neg
87,87,87,87,87,87,87,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,random distribution elevate bet kitty disproportionate share,neg
88,88,88,88,88,88,88,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,flying va life happens trying change trip jperhi home page let,neg
89,89,89,89,89,89,89,@VirginAmerica Why is the site down?  When will it be back up?,site back,neg
90,90,90,90,90,90,90,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",know,neg
91,91,91,91,91,91,91,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",get point elevate account recent add flight point,neg
92,92,92,92,92,92,92,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,like tv interesting video disappointed cancelled flightled flight flight went jfk saturday,neg
93,93,93,93,93,93,93,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",landed hour late flight bag check business travel friendly nomorevirgin,neg
94,94,94,94,94,94,94,@VirginAmerica why is flight 345 redirected?,flight,neg
95,95,95,95,95,95,95,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",website new website great user time another,neg
96,96,96,96,96,96,96,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,check add website tried desktop mobile,neg
97,97,97,97,97,97,97,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,let scanned passenger leave plane told someone remove bag class uncomfortable,neg
98,98,98,98,98,98,98,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,phone find call flight,neg
99,99,99,99,99,99,99,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,anyone anything website useless one answering,neg
100,100,100,100,100,100,100,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,trying add boy prince sf thursday lax,neg
101,101,101,101,101,101,101,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,must traveler miss flight late flight check missed morning appointment lost,neg
102,102,102,102,102,102,102,@VirginAmerica check out new music http://t.co/maRcnOCWzn,check new music,neg
103,103,103,103,103,103,103,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,direct flight unexpected layover vega fuel yet peep next bought vega sneaky,neg
104,104,104,104,104,104,104,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,late flight bag check lost missed flight three people flight,neg
105,105,105,105,105,105,105,"@VirginAmerica - amazing customer  service, again! ðŸ’•ðŸ’• RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",amazing customer raeann sf customerservice virginamerica flying,pos
106,106,106,106,106,106,106,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,called service line hung sarcasm,neg
107,107,107,107,107,107,107,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,site trying check getting plain text reluctant enter card,neg
108,108,108,108,108,108,108,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,scheduled sfo dal flight changed due look like flight still,neg
109,109,109,109,109,109,109,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",getaway deal lot cool city cheapflights farecompare,neg
110,110,110,110,110,110,110,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",getaway deal lot cool city cheapflights farecompare,neg
111,111,111,111,111,111,111,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",getaway deal lot cool city cheapflights farecompare,neg
112,112,112,112,112,112,112,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",getaway deal lot cool city cheapflights farecompare,neg
113,113,113,113,113,113,113,@VirginAmerica Have a great week ðŸŒžâœˆ,great week ðÿœžâœˆ,pos
114,114,114,114,114,114,114,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,come back phl need take u horrible pleasecomeback,neg
115,115,115,115,115,115,115,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",concerned fly plane need delayed due,neg
116,116,116,116,116,116,116,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",best airline flown change representative comfortable flying experience,neg
117,117,117,117,117,117,117,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,another rep kicked naelah represents team thank,neg
118,118,118,118,118,118,118,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,beautiful design right cool still book ticket,neg
119,119,119,119,119,119,119,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",love team running gate la waited delayed kept thing entertaining,neg
120,120,120,120,120,120,120,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,use another brand reputation built tech response compatible,neg
121,121,121,121,121,121,121,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",flight flight booking problem site totally,neg
122,122,122,122,122,122,122,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,like customer service min delay connecting passenger seems,neg
123,123,123,123,123,123,123,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,thanks outstanding crew moved mountain get home san francisco,neg
124,124,124,124,124,124,124,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,absolute best team customer service every time fly thank,neg
125,125,125,125,125,125,125,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",provide complimentary upgrade first available,neg
126,126,126,126,126,126,126,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,need change flight thats scheduled hour min wait time im calling,neg
127,127,127,127,127,127,127,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,completely awesome experience last month thanks awesome flight depart vabeatsjblue,neg
128,128,128,128,128,128,128,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,watch,neg
129,129,129,129,129,129,129,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,flight cancelled flightled,neg
130,130,130,130,130,130,130,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,failing customer check process link tsa,neg
131,131,131,131,131,131,131,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,u terrible gave u hotel hotline number said sorry,neg
132,132,132,132,132,132,132,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,flight number sfo cabo san lucas arrived,neg
133,133,133,133,133,133,133,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,assistance yesterday u cancelled flightled flight give u hotel hotline shame,neg
134,134,134,134,134,134,134,@VirginAmerica Another delayed flight? #likingyoulessandless,another delayed likingyoulessandless,neg
135,135,135,135,135,135,135,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,need register service dog first class ticket sfo phone queue hour pls advise,neg
136,136,136,136,136,136,136,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,rock making watch oscar redcarpet oscar,neg
137,137,137,137,137,137,137,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",dropped track,neg
138,138,138,138,138,138,138,@VirginAmerica always!!! Xoxo,xoxo,neg
139,139,139,139,139,139,139,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,book seat flight buy even check creates much frustrated,neg
140,140,140,140,140,140,140,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,think paying extra buck rt luggage might afford hiring extra hand lame,neg
141,141,141,141,141,141,141,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,best customer service rep irmafromdallas take,neg
142,142,142,142,142,142,142,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service ðŸ˜ƒ,find u flt lax sooner midnight would great customer service,pos
143,143,143,143,143,143,143,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,please provide status flight cant imagine time web indicates dude weather dallas,neg
144,144,144,144,144,144,144,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,amazing staff super helpful ran princesshalf spoiled,neg
145,145,145,145,145,145,145,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",paid premium fly across cancelled flight flight offer check fee upgrade sad face,neg
146,146,146,146,146,146,146,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,possible book seat infant giving option want seat,neg
147,147,147,147,147,147,147,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,always rt,neg
148,148,148,148,148,148,148,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,flight home dc sunset globe backtowinter back work refreshed,neg
149,149,149,149,149,149,149,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,understand need dm give answer damaged luggage,neg
150,150,150,150,150,150,150,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,mean policy destroyed,neg
151,151,151,151,151,151,151,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,special assistance travel alone kid priority,neg
152,152,152,152,152,152,152,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),thank checking ticket purchased customer happy,neg
153,153,153,153,153,153,153,@VirginAmerica is your website ever coming back online?,website ever coming back,neg
154,154,154,154,154,154,154,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",flight love field sfo definitely cancelled flightled february,neg
155,155,155,155,155,155,155,@VirginAmerica Is flight 0769 out of LGA to DFW on time?,flight lga dfw,neg
156,156,156,156,156,156,156,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,driver license expired little fly friday morning using expired,neg
157,157,157,157,157,157,157,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,problem flight booking problem web keep giving error contact phone minute,neg
158,158,158,158,158,158,158,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,reschedule cancelled flightled flight change button greyed,neg
159,159,159,159,159,159,159,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",wait book ticket fix site,neg
160,160,160,160,160,160,160,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",got flight email,neg
161,161,161,161,161,161,161,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",flight lga cancelled stuck called told could get flight,neg
162,162,162,162,162,162,162,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,pairing include red white offered redwineisbetter,neg
163,163,163,163,163,163,163,@VirginAmerica is the website down?,website,neg
164,164,164,164,164,164,164,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,site seems little wonked right may want tried two,neg
165,165,165,165,165,165,165,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,disappointed agent designated silver status check line closed assist pasengers,neg
166,166,166,166,166,166,166,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,plan include austin dallas route topnews arab emirate,neg
167,167,167,167,167,167,167,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,normal receive reply central baggage baggageissues smh,neg
168,168,168,168,168,168,168,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,logan airport waiting checkin checkin desk open,neg
169,169,169,169,169,169,169,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,jump market,neg
170,170,170,170,170,170,170,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",beat eps take southwestair va luv business daily,neg
171,171,171,171,171,171,171,@VirginAmerica Lister to my show my on Monday 1230 130,lister show monday,neg
172,172,172,172,172,172,172,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,begin flight april ketr,neg
173,173,173,173,173,173,173,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",got business ewr fuck,neg
174,174,174,174,174,174,174,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,applied week heard back flying week disappointed,neg
175,175,175,175,175,175,175,@VirginAmerica I'd love to know what your policy is for damaged luggage.,love know policy damaged,neg
176,176,176,176,176,176,176,@VirginAmerica Thank you for the follow,thank follow,neg
177,177,177,177,177,177,177,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,many r worse even respond cudtomers,neg
178,178,178,178,178,178,178,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,shame va making people spend money stranded city airline landing reimburse,neg
179,179,179,179,179,179,179,@VirginAmerica @TTINAC11 I DM you,dm,neg
180,180,180,180,180,180,180,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas ðŸ˜©ðŸ˜­,please flight sjc choice fly southwest vega,pos
181,181,181,181,181,181,181,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,bad say take day via confirmation inquired week claim,neg
182,182,182,182,182,182,182,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,flight bos la tomorrow cancelled wait time rebook another,neg
